neighborhood,Renta_neta_media_hogar,Indice_Criminalidad,Indice_Calidad_Aire
Palacio,41928.3,2.78,34.66
Embajadores,38734.02,2.78,34.66
Cortes,44648.44,2.78,34.66
Justicia,49273.48,2.78,34.66
Universidad,44569.22,2.78,35.39
Sol,45386.54,3.33,33.92
Imperial,51717.51,3.33,38.97
Acacias,52159.32,3.33,38.97
Chopera,48019.4,3.33,38.97
Legazpi,52781.87,3.33,38.97
Delicias,50511.96,3.33,38.97
Palos de la Frontera,51411.52,3.33,38.97
Atocha,51918.88,3.33,38.97
Pacífico,58425.47,3.07,18.7
Adelfas,57742.32,3.07,18.7
Estrella,57919.07,3.07,18.7
Ibiza,72856.77,3.07,18.7
Los Jerónimos,80344.58,3.07,18.7
Niño Jesús,64975.11,3.07,18.7
Recoletos,88415.32,4.4,43.91
Goya,71296.92,4.4,43.91
Fuente del Berro,56769.7,3.59,43.91
Guindalera,55672.55,4.78,43.91
Lista,71202.25,4.78,43.91
Castellana,80310.34,4.78,43.91
El Viso,92477.82,6.11,39.37
Prosperidad,71708.73,5.59,39.37
Ciudad Jardín,75353.62,4.32,33.23
Hispanoamérica,81292.79,6.1,39.37
Nueva España,83344.82,6.11,39.37
Castilla,69342.54,7.27,45.5
Bellas Vistas,42345.86,6.01,47.42
Cuatro Caminos,48951.41,6.01,47.42
Castillejos,48738.34,6.17,47.42
Almenara,42078.25,4.94,47.42
Valdeacederas,40720.33,3.04,47.42
Berruguete,40213.13,2.52,47.42
Gaztambide,57179.61,5.14,38.97
Arapiles,59358.89,5.14,38.97
Trafalgar,65874.64,5.14,38.97
Almagro,72631.45,5.14,38.97
Ríos Rosas,62102.69,4.37,38.97
Vallehermoso,57600.53,4.14,38.97
El Pardo,54866.67,2.59,13.76
Fuentelarreina,50021.6,2.59,30.21
Peñagrande,55654.08,2.59,30.21
Pilar,54556.52,2.59,30.21
La Paz,55750.81,2.59,34.72
Valverde,66563.78,1.64,42.14
Mirasierra,72253.42,2.43,30.21
El Goloso,55726.12,2.43,30.21
Casa de Campo,70363.17,4.0,29.82
Argüelles,85746.73,4.0,29.82
Ciudad Universitaria,71771.88,4.0,29.82
Valdezarza,60157.25,4.0,29.82
Valdemarín,76990.63,4.0,29.82
El Plantío,58735.97,4.0,29.82
Aravaca,69860.72,4.0,29.82
Los Cármenes,37190.86,2.93,54.69
Puerta del Ángel,41687.7,2.93,54.69
Lucero,36648.54,2.93,54.69
Aluche,35260.35,2.93,54.69
Campamento,36405.44,2.93,54.69
Cuatro Vientos,39381.31,2.93,54.69
Águilas,34200.16,2.93,54.69
Comillas,36714.11,2.84,38.97
Opañel,33239.94,3.3,38.97
San Isidro,33940.41,3.8,38.97
Vista Alegre,31878.06,3.8,38.97
Puerta Bonita,31456.14,3.8,38.97
Buenavista,43890.07,3.8,38.97
Abrantes,30115.49,3.56,38.97
Orcasitas,31914.67,3.86,38.97
Orcasur,31145.54,3.86,38.97
San Fermín,30643.68,3.86,38.97
Almendrales,34823.63,3.86,38.97
Moscardó,35646.38,3.86,38.97
Zofío,33660.31,3.86,38.97
Pradolongo,34243.44,3.86,38.97
Entrevías,27220.34,3.86,47.5
San Diego,32570.15,3.86,47.5
Palomeras Bajas,31674.68,4.78,47.5
Palomeras Sureste,30682.26,5.7,47.5
Portazgo,30414.29,5.48,47.5
Numancia,33879.68,7.54,47.5
Pavones,38522.26,4.71,48.71
Horcajo,39436.8,4.71,48.71
Marroquina,45486.32,4.71,48.71
Media Legua,41280.83,4.71,48.71
Fontarrón,38421.84,4.71,48.71
Vinateros,40592.68,4.71,48.71
Ventas,42055.51,3.49,25.51
Pueblo Nuevo,40884.93,3.49,25.51
Quintana,44446.72,3.49,25.51
La Concepción,46343.36,3.49,25.51
San Pascual,48208.54,3.49,25.51
San Juan Bautista,54498.21,3.49,25.51
Colina,56837.56,3.49,25.51
Atalaya,42723.86,3.49,25.51
Costillares,52834.63,3.49,25.51
Palomas,54012.47,4.1,42.56
Piovera,59600.31,3.29,42.56
Canillas,46836.33,4.1,47.74
Pinar del Rey,44020.59,3.29,42.56
Apóstol Santiago,42620.66,3.29,42.56
Valdefuentes,86522.62,3.29,37.37
Villaverde Alto - Casco Histórico de Villaverde,32958.8,11.19,52.87
San Cristóbal,28977.97,11.19,52.87
Butarque,37511.89,12.3,52.87
Los Rosales,34650.51,12.56,52.87
Ángeles,32708.52,14.5,52.87
Casco Histórico de Vallecas,36170.92,14.5,38.18
Santa Eugenia,37400.81,14.5,38.18
Ensanche de Vallecas,39296.66,14.5,38.18
Casco Histórico de Vicálvaro,40645.61,12.13,38.97
Valdebernardo,43346.85,9.75,38.97
Valderrivas,39130.96,7.38,38.97
El Cañaveral,43189.3,5.0,38.97
Simancas,44245.66,3.82,38.97
Hellín,36890.21,6.41,38.97
Amposta,36133.56,6.41,38.97
Arcos,38688.48,6.41,38.97
Rosas,46859.95,6.41,38.97
Rejas,45860.46,5.31,38.97
Canillejas,40442.78,5.31,38.97
El Salvador,49709.13,5.31,38.97
Alameda de Osuna,57850.36,8.62,30.51
Aeropuerto,47870.0,8.62,30.51
Casco Histórico de Barajas,54448.99,8.62,36.68
Timón,53823.66,8.62,30.51
Corralejos,60650.09,8.62,24.33
